model,hardware,tp,batch_size,prompt_plus_token_size,token_time,layer_time,Matmul,BatchedMatmul,Softmax,LayerNorm,GeLU,AllReduce,Others
Bloom-176B,H100x8,8,1,4,0.029251,0.00041788,0.00032382,3.6841e-05,6.2346e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,3,0.029251,0.00041787,0.00032382,3.6839e-05,6.2346e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,2,0.029251,0.00041787,0.00032382,3.6836e-05,6.2346e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,5,0.029251,0.00041788,0.00032382,3.6844e-05,6.2346e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,12,0.029255,0.00041793,0.00032382,3.6895e-05,6.2346e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,17,0.029256,0.00041794,0.00032382,3.6911e-05,6.2346e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,18,0.029259,0.00041798,0.00032382,3.6946e-05,6.2346e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,16,0.029256,0.00041794,0.00032382,3.6909e-05,6.2346e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,8,0.029252,0.00041789,0.00032382,3.6852e-05,6.2346e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,6,0.029252,0.00041788,0.00032382,3.6846e-05,6.2346e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,9,0.029254,0.00041792,0.00032382,3.6887e-05,6.2346e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,10,0.029255,0.00041792,0.00032382,3.689e-05,6.2346e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,65,0.029272,0.00041816,0.00032382,3.7129e-05,6.2366e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,66,0.029272,0.00041817,0.00032382,3.7136e-05,6.2366e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
