model,hardware,tp,batch_size,prompt_size,prompt_time,layer_time,Matmul,BatchedMatmul,Softmax,LayerNorm,GeLU,AllReduce,Others
Bloom-176B,H100x8,8,1,128,0.034475,0.0004925,0.00034863,3.6915e-05,6.8801e-06,2.5637e-05,8.9284e-06,5.8947e-05,6.5686e-06
Bloom-176B,H100x8,8,1,64,0.031725,0.00045322,0.00033574,3.608e-05,6.3892e-06,1.9498e-05,7.4072e-06,4.4824e-05,3.2843e-06
Bloom-176B,H100x8,8,1,32,0.03036,0.00043372,0.00032954,3.575e-05,6.2599e-06,1.6172e-05,6.588e-06,3.7762e-05,1.6422e-06
Bloom-176B,H100x8,8,1,16,0.029724,0.00042462,0.0003264,3.5561e-05,6.273e-06,1.5077e-05,6.2598e-06,3.4232e-05,8.2108e-07
Bloom-176B,H100x8,8,1,1,0.02925,0.00041786,0.00032382,3.6831e-05,6.2346e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,4,0.029276,0.00041823,0.00032447,3.5468e-05,6.2346e-06,1.4257e-05,6.0133e-06,3.1584e-05,2.0527e-07
Bloom-176B,H100x8,8,1,8,0.029417,0.00042024,0.000325,3.5499e-05,6.2366e-06,1.453e-05,6.0961e-06,3.2466e-05,4.1054e-07
Bloom-176B,H100x8,8,1,2,0.029191,0.00041701,0.00032399,3.5455e-05,6.2346e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,1,256,0.040679,0.00058113,0.00038192,3.9438e-05,9.2013e-06,3.8013e-05,1.2236e-05,8.7192e-05,1.3137e-05
Bloom-176B,H100x8,8,1,512,0.064789,0.00092556,0.00061584,4.7174e-05,1.8312e-05,5.6233e-05,1.804e-05,0.00014368,2.6274e-05
Bloom-176B,H100x8,8,1,384,0.053219,0.00076028,0.00050923,4.4109e-05,1.3107e-05,4.3141e-05,1.5542e-05,0.00011544,1.9706e-05
Bloom-176B,H100x8,8,1,768,0.090914,0.0012988,0.00087457,6.1069e-05,2.8859e-05,7.4454e-05,2.0229e-05,0.00020018,3.9412e-05
Bloom-176B,H100x8,8,1,8192,1.0557,0.015081,0.007531,0.0020982,0.0024079,0.00063202,0.00015329,0.0018384,0.00042039
Bloom-176B,H100x8,8,1,10240,1.4323,0.020462,0.0093723,0.0032653,0.0040284,0.00078725,0.00019254,0.0022904,0.00052549
Bloom-176B,H100x8,8,1,12288,1.8641,0.02663,0.011212,0.0046614,0.0062136,0.00094248,0.00022745,0.0027423,0.00063059
Bloom-176B,H100x8,8,1,14336,2.2837,0.032624,0.013043,0.0063497,0.0079362,0.0010977,0.00026671,0.0031942,0.00073568
Bloom-176B,H100x8,8,1,1024,0.11409,0.0016299,0.0010831,7.3629e-05,4.4493e-05,9.2674e-05,2.6766e-05,0.00025667,5.2549e-05
Bloom-176B,H100x8,8,1,2048,0.22108,0.0031583,0.0020354,0.00017108,0.00015356,0.00016634,4.422e-05,0.00048263,0.0001051
Bloom-176B,H100x8,8,1,1536,0.17034,0.0024334,0.0016077,0.00011941,9.2456e-05,0.0001299,3.5493e-05,0.00036965,7.8823e-05
Bloom-176B,H100x8,8,1,3072,0.33718,0.0048168,0.0029609,0.00033907,0.00034102,0.0002479,6.1673e-05,0.0007086,0.00015765
Bloom-176B,H100x8,8,1,4096,0.46071,0.0065815,0.0038811,0.00055643,0.00059853,0.00032157,7.9189e-05,0.00093456,0.0002102
Bloom-176B,H100x8,8,1,6144,0.7403,0.010576,0.0057355,0.0012033,0.0013399,0.0004768,0.00011838,0.0013865,0.00031529
Bloom-176B,H100x8,8,1,5120,0.59695,0.0085279,0.0048083,0.00086201,0.00093031,0.00040313,0.00010093,0.0011605,0.00026274
Bloom-176B,H100x8,8,1,7168,0.89074,0.012725,0.0066107,0.0016199,0.0018197,0.00055835,0.00013584,0.0016125,0.00036784
Bloom-176B,H100x8,8,2,1,0.029288,0.00041839,0.00032399,3.6836e-05,6.2346e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,2,0.029286,0.00041837,0.00032447,3.561e-05,6.2346e-06,1.4257e-05,6.0133e-06,3.1584e-05,2.0527e-07
Bloom-176B,H100x8,8,2,4,0.029426,0.00042038,0.000325,3.5637e-05,6.2356e-06,1.453e-05,6.0961e-06,3.2466e-05,4.1054e-07
Bloom-176B,H100x8,8,1,16384,2.8069,0.040099,0.014874,0.0082616,0.010922,0.0012529,0.00030161,0.0036462,0.00084078
Bloom-176B,H100x8,8,2,64,0.03445,0.00049214,0.00034863,3.6861e-05,6.574e-06,2.5637e-05,8.9284e-06,5.8947e-05,6.5686e-06
Bloom-176B,H100x8,8,2,32,0.031729,0.00045327,0.00033574,3.6201e-05,6.3164e-06,1.9498e-05,7.4072e-06,4.4824e-05,3.2843e-06
Bloom-176B,H100x8,8,2,8,0.029733,0.00042476,0.0003264,3.5698e-05,6.269e-06,1.5077e-05,6.2598e-06,3.4232e-05,8.2108e-07
Bloom-176B,H100x8,8,2,16,0.030364,0.00043377,0.00032954,3.5822e-05,6.2427e-06,1.6172e-05,6.588e-06,3.7762e-05,1.6422e-06
Bloom-176B,H100x8,8,2,128,0.040511,0.00057872,0.00038192,3.8531e-05,7.6993e-06,3.8013e-05,1.2236e-05,8.7192e-05,1.3137e-05
Bloom-176B,H100x8,8,2,256,0.064131,0.00091616,0.00061584,4.3575e-05,1.2508e-05,5.6233e-05,1.804e-05,0.00014368,2.6274e-05
Bloom-176B,H100x8,8,2,512,0.11185,0.0015979,0.0010831,5.9049e-05,2.7039e-05,9.2674e-05,2.6766e-05,0.00025667,5.2549e-05
Bloom-176B,H100x8,8,2,384,0.089652,0.0012807,0.00087457,5.2917e-05,1.8981e-05,7.4454e-05,2.0229e-05,0.00020018,3.9412e-05
Bloom-176B,H100x8,8,2,7168,1.7624,0.025177,0.013043,0.0032045,0.0036343,0.0010977,0.00026671,0.0031942,0.00073568
Bloom-176B,H100x8,8,2,8192,2.0921,0.029888,0.014874,0.0041611,0.0048105,0.0012529,0.00030161,0.0036462,0.00084078
Bloom-176B,H100x8,8,2,10240,2.8437,0.040624,0.018537,0.0064954,0.0080514,0.0015634,0.00037577,0.00455,0.001051
Bloom-176B,H100x8,8,2,12288,3.7064,0.052949,0.022199,0.0092876,0.012423,0.0018738,0.00044994,0.0054539,0.0012612
Bloom-176B,H100x8,8,2,1024,0.21176,0.0030251,0.0020354,0.00011196,7.9462e-05,0.00016634,4.422e-05,0.00048263,0.0001051
Bloom-176B,H100x8,8,2,768,0.16526,0.0023609,0.0016077,8.6839e-05,5.2514e-05,0.0001299,3.5493e-05,0.00036965,7.8823e-05
Bloom-176B,H100x8,8,2,1536,0.31609,0.0045156,0.0029609,0.00020353,0.00017534,0.0002479,6.1673e-05,0.0007086,0.00015765
Bloom-176B,H100x8,8,2,2048,0.42247,0.0060353,0.0038811,0.00030686,0.00030189,0.00032157,7.9189e-05,0.00093456,0.0002102
Bloom-176B,H100x8,8,2,3072,0.65435,0.0093478,0.0057355,0.00064284,0.00067247,0.0004768,0.00011838,0.0013865,0.00031529
Bloom-176B,H100x8,8,2,4096,0.89912,0.012845,0.007531,0.0010776,0.0011918,0.00063202,0.00015329,0.0018384,0.00042039
Bloom-176B,H100x8,8,2,5120,1.1698,0.016712,0.0093723,0.0016887,0.0018552,0.00078725,0.00019254,0.0022904,0.00052549
Bloom-176B,H100x8,8,2,6144,1.4557,0.020796,0.011212,0.0023713,0.00267,0.00094248,0.00022745,0.0027423,0.00063059
Bloom-176B,H100x8,8,3,1,0.029326,0.00041894,0.00032417,3.6841e-05,6.2346e-06,1.4189e-05,5.9931e-06,3.1363e-05,1.5395e-07
Bloom-176B,H100x8,8,3,2,0.029362,0.00041946,0.00032467,3.5766e-05,6.2346e-06,1.4395e-05,6.0547e-06,3.2025e-05,3.079e-07
Bloom-176B,H100x8,8,2,14336,4.5448,0.064926,0.025862,0.012664,0.015863,0.0021843,0.0005241,0.0063577,0.0014714
Bloom-176B,H100x8,8,2,16384,5.5921,0.079887,0.029524,0.016488,0.021839,0.0024947,0.00059826,0.0072616,0.0016816
Bloom-176B,H100x8,8,3,64,0.037356,0.00053366,0.00036333,3.7609e-05,6.7599e-06,3.2458e-05,1.0582e-05,7.3069e-05,9.8529e-06
Bloom-176B,H100x8,8,3,128,0.052625,0.00075178,0.00050923,4.0072e-05,8.6538e-06,4.3141e-05,1.5542e-05,0.00011544,1.9706e-05
Bloom-176B,H100x8,8,3,256,0.089054,0.0012722,0.00087457,4.754e-05,1.5814e-05,7.4454e-05,2.0229e-05,0.00020018,3.9412e-05
Bloom-176B,H100x8,8,3,384,0.13468,0.001924,0.0013629,6.1254e-05,2.1444e-05,0.00010652,2.7861e-05,0.00028491,5.9118e-05
Bloom-176B,H100x8,8,3,4,0.029592,0.00042274,0.00032572,3.5805e-05,6.2659e-06,1.4805e-05,6.1779e-06,3.3349e-05,6.1581e-07
Bloom-176B,H100x8,8,3,8,0.030074,0.00042962,0.00032815,3.5894e-05,6.3013e-06,1.5625e-05,6.4244e-06,3.5997e-05,1.2316e-06
Bloom-176B,H100x8,8,3,16,0.031106,0.00044437,0.00033289,3.6078e-05,6.274e-06,1.8403e-05,6.9739e-06,4.1293e-05,2.4632e-06
Bloom-176B,H100x8,8,3,32,0.033129,0.00047328,0.00034187,3.6637e-05,6.373e-06,2.3251e-05,8.334e-06,5.1885e-05,4.9265e-06
Bloom-176B,H100x8,8,3,512,0.16295,0.0023278,0.0016077,7.0509e-05,3.5766e-05,0.0001299,3.5493e-05,0.00036965,7.8823e-05
